"ID","釣り方","レベル","種類","メーカー","商品名","番手・モデル","商品画像URL","状態"
"034","メバリング","上級者","ロッド","SHIMANO","ソアレ リミテッド","S76UL","https://hbb.afl.rakuten.co.jp/hgb/569c30cb.e9b5cd4b.569c30cc.2ae5a817/?me_id=1196403&item_id=18723240&pc=https%3A%2F%2Fthumbnail.image.rakuten.co.jp%2F%400_mall%2Fnaturum%2Fcabinet%2Fgoods%2F034857%2F92_1.jpg%3F_ex%3D240x240&s=240x240&t=pict","設定済み"
"035","メバリング","上級者","リール","DAIWA","エアリティ LT2000S系","LT2000S系","https://hbb.afl.rakuten.co.jp/hgb/569c2aea.3c718ba1.569c2aec.7f9fff91/?me_id=1311623&item_id=10505435&pc=https%3A%2F%2Fthumbnail.image.rakuten.co.jp%2F%400_mall%2Fcasting%2Fcabinet%2Fxm241%2F4550133110573.jpg%3F_ex%3D240x240&s=240x240&t=pict","設定済み"
"036","メバリング","上級者","リール","SHIMANO","ツインパワー","C2000SS","https://hbb.afl.rakuten.co.jp/hgb/569d7d5b.f460a5ec.569d7d5c.e12998cd/?me_id=1261517&item_id=10083057&pc=https%3A%2F%2Fthumbnail.image.rakuten.co.jp%2F%400_mall%2Fmarunishi%2Fcabinet%2Fneko32%2F4969363049216.jpg%3F_ex%3D240x240&s=240x240&t=pict","設定済み"
"037","シーバス","初級者","ロッド","DAIWA","ルアーニスト 86ML","86ML","","未設定"
"038","シーバス","初級者","ロッド","SHIMANO","エクスセンス BB","S86ML","","未設定"
"039","シーバス","初級者","リール","DAIWA","23 レガリス","LT3000-CXH","","未設定"
"040","シーバス","初級者","リール","SHIMANO","シエナ","C3000","","未設定"
"041","シーバス","中級者","ロッド","DAIWA","ラテオ 86ML・K","86ML・K","","未設定"
"042","シーバス","中級者","ロッド","SHIMANO","エクスセンス ジェノス","S86ML","","未設定"
"043","シーバス","中級者","リール","DAIWA","セルテート LT3000-XH","LT3000-XH","","未設定"
"044","シーバス","中級者","リール","SHIMANO","ストラディック","C3000MHG","","未設定"
"045","シーバス","上級者","ロッド","DAIWA","モアザン 86ML","86ML","","未設定"
"046","シーバス","上級者","ロッド","SHIMANO","エクスセンス ∞(インフィニティ)","S86ML","","未設定"
"047","シーバス","上級者","リール","DAIWA","セルテート LT3000-XH","LT3000-XH","","未設定"
"048","シーバス","上級者","リール","SHIMANO","ツインパワー","C3000MHG","","未設定"
"049","ライトショアジギング","初級者","ロッド","DAIWA","ルアーニスト 96M","96M","","未設定"
"050","ライトショアジギング","初級者","ロッド","SHIMANO","コルトスナイパー BB","S96M","","未設定"
"051","ライトショアジギング","初級者","リール","DAIWA","23 レガリス","LT4000-CXH","","未設定"
"052","ライトショアジギング","初級者","リール","SHIMANO","サハラ","C5000","","未設定"
